,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
123, Tarleton St., WAC, 28, 17, 105.1, 101.2, .6076, 47.9, 52.8, 18.1, 23.9, 25.7, 29.9, 48.6, 47.2, 46.9, 51.8, 33.8, 36.1, 66.6, -6.9
124, Towson, CAA, 33, 21, 108.5, 104.7, .6023, 51.1, 48.6, 18.4, 17.7, 35.7, 26.7, 29.8, 29.5, 49, 47.7, 36.7, 33.2, 64.7, -5.8
125, Fresno St., MWC, 30, 11, 104.2, 100.7, .5959, 49.3, 51.2, 18.1, 19.7, 24.9, 28.2, 24.3, 32.1, 51.1, 48.3, 31.1, 37.3, 64.1, -9.5
126, Grand Canyon, WAC, 29, 21, 110.3, 106.6, .5950, 51.5, 47.2, 18.7, 15.6, 31.5, 30.7, 37.6, 32, 50, 46.7, 35.9, 32.3, 65, -4.3
127, Middle Tennessee, CUSA, 29, 18, 105.4, 102.2, .5887, 51.4, 51.2, 19.7, 22, 31.8, 29.7, 29.9, 34.8, 51.3, 49.8, 34.5, 36, 67.2, -5.4
128, Davidson, A10, 31, 16, 107.9, 104.7, .5863, 50.1, 50.8, 16.2, 17.3, 24.9, 27.8, 32.8, 26.7, 51.3, 51.5, 31.9, 33, 65.2, -8.2
129, Eastern Washington, BSky, 31, 22, 111.2, 107.9, .5857, 56.5, 49.9, 19.9, 15.9, 28.1, 25.9, 32.1, 29.6, 58.8, 50.7, 35.7, 32.5, 68.5, -3.8
130, Hawaii, BW, 31, 22, 101.9, 99.2, .5763, 48.7, 44.7, 18.3, 16.8, 29.6, 26.5, 33.7, 27.2, 48.4, 44.7, 32.8, 29.7, 64.7, -4.6
131, Air Force, MWC, 32, 14, 106.4, 103.7, .5756, 54.2, 49.3, 19, 17.1, 22.3, 28.6, 31.2, 35.2, 54.8, 51.9, 35.6, 29.3, 63.1, -8.8
132, Syracuse, ACC, 32, 17, 109.5, 106.6, .5744, 51.6, 51.2, 17, 18.7, 30, 33.6, 30.7, 21.7, 50.5, 50.9, 36.1, 34.4, 67.3, -5.9
133, Butler, BE, 32, 14, 100.7, 98.2, .5735, 49.5, 50.1, 17.6, 18.6, 20, 30.3, 25.9, 22.6, 49.7, 51, 32.7, 32.1, 65.7, -4.7
134, Stephen F. Austin, WAC, 29, 19, 105.0, 102.4, .5727, 51.5, 51.4, 21.3, 23.8, 31.6, 32.2, 38.9, 41.8, 49.2, 51.7, 38, 34, 69.2, -6.7
135, South Florida, Amer, 32, 14, 106.3, 103.7, .5700, 50.8, 49.8, 19.6, 18.7, 33, 27.8, 30.7, 37.1, 51, 48.2, 33.6, 34.9, 68.4, -9
136, Ohio, MAC, 31, 19, 110.9, 108.3, .5682, 52.6, 51.4, 15.9, 17.6, 32.3, 29.2, 27.7, 33.7, 50.4, 51.6, 37.5, 34.1, 68.1, -6.7
137, Southern Illinois, MVC, 32, 23, 101.0, 98.7, .5641, 51.7, 47.6, 19.3, 19.6, 22.8, 27.3, 30.6, 29.8, 54.6, 46.7, 32.2, 33, 63.8, -2.9
138, Samford, SC, 28, 21, 108.8, 106.4, .5617, 53.6, 51.9, 17.9, 19.8, 28.2, 27, 41, 37.6, 52.6, 49, 36.5, 37, 68, -5.8
139, Utah Tech, WAC, 29, 14, 108.2, 105.9, .5610, 52.8, 53.9, 21.3, 20.2, 28.7, 27, 45.5, 34.7, 50.4, 52.8, 37.5, 37.1, 68.9, -10
140, Wyoming, MWC, 30, 9, 107.9, 105.8, .5577, 51.6, 53.4, 18.2, 16.4, 24.2, 25.3, 33.4, 28.9, 51.3, 52.6, 34.7, 36.4, 65.6, -10.9
141, Missouri St., MVC, 31, 17, 104.9, 102.9, .5548, 50.1, 49.3, 19.1, 18.6, 33.2, 26.9, 27.2, 30.4, 50.9, 49.5, 32.8, 32.6, 62, -7.5
142, Eastern Kentucky, ASun, 30, 20, 103.9, 102.1, .5519, 47.6, 49.5, 17.2, 18.4, 33.3, 30.1, 24.8, 25.7, 47.8, 48.5, 31.5, 34.1, 70.2, -6.1
143, Notre Dame, ACC, 32, 11, 109.0, 107.2, .5471, 52, 52.1, 13.4, 13.6, 19.6, 26.5, 23.3, 26.5, 50.6, 52.4, 35.8, 34.3, 64.8, -11.8
144, Long Beach St., BW, 31, 17, 105.8, 104.2, .5444, 48.4, 49.8, 18.7, 18.2, 34.6, 28, 34.4, 30, 49.4, 48.8, 30.2, 34.2, 73.1, -8.4
145, LSU, SEC, 32, 14, 106.5, 105.0, .5405, 47.7, 51.8, 18.6, 17.5, 31.4, 28.6, 33.8, 29.6, 46.6, 51.9, 33, 34.5, 65.7, -6.3
146, Appalachian St., SB, 29, 16, 102.1, 100.7, .5389, 48.7, 47.9, 16.3, 17.1, 24.5, 28.8, 29.3, 24.8, 48.3, 46.5, 32.9, 33.4, 65.1, -9.9
147, Troy, SB, 30, 20, 103.1, 101.8, .5366, 49.4, 48.6, 18.7, 21.1, 30.3, 30.1, 32.5, 34.6, 51.2, 48.4, 31.2, 32.7, 67.8, -5.8
148, Portland, WCC, 31, 14, 110.5, 109.1, .5364, 53.8, 54.5, 18, 16.9, 24.1, 30.2, 43.3, 27.7, 51.8, 53.2, 37.4, 37.4, 69.3, -8.9
149, UC Davis, BW, 29, 18, 105.3, 104.1, .5345, 50.3, 50.5, 20.4, 20.8, 32.3, 29, 43, 32, 49.7, 48.6, 34.3, 36.6, 70.7, -7.3
150, Fordham, A10, 31, 24, 101.8, 100.7, .5315, 48.3, 46.6, 19.3, 19.5, 30, 25.4, 37.9, 38, 48.7, 45.8, 31.9, 32.4, 69.7, -1.3
151, Cal Baptist, WAC, 31, 17, 103.8, 102.7, .5310, 49, 47.6, 18.1, 16, 28.9, 26.1, 31.6, 29.3, 49.2, 49, 32.5, 29.7, 64.1, -9.6
152, Georgia Tech, ACC, 31, 15, 104.2, 103.3, .5269, 48.5, 50.1, 15.6, 15.9, 27.5, 29.9, 23.5, 30.8, 47.4, 52, 33.4, 31, 66.5, -8.3
153, Youngstown St., Horz, 31, 24, 111.2, 110.2, .5260, 55.1, 51.7, 15.7, 18, 30.8, 28.6, 29.6, 26.4, 55.2, 51.7, 36.5, 34.5, 68.1, -5.1
154, Georgia, SEC, 32, 16, 104.4, 103.4, .5253, 47.1, 49.8, 19.3, 16.8, 30.5, 30.5, 40.5, 28.9, 46.8, 51, 31.7, 31.9, 67.6, -5.3
155, Cornell, Ivy, 25, 17, 111.8, 110.9, .5250, 55.4, 55.7, 16.7, 22, 28.8, 29.2, 28.9, 30.6, 58.4, 57.3, 34.9, 35.5, 71.1, -4.8
156, Northern Kentucky, Horz, 32, 22, 103.5, 102.6, .5243, 49.8, 51.3, 17.5, 23.2, 31.3, 32.8, 27.4, 30.8, 47.7, 48.9, 35.2, 36.7, 61.9, -6.5
157, DePaul, BE, 32, 10, 106.0, 105.2, .5224, 49.1, 51.4, 18.2, 17.9, 25.8, 34, 28, 35.5, 45.7, 51.1, 36.5, 34.7, 68.8, -8.6
158, George Mason, A10, 33, 20, 101.7, 101.1, .5160, 51.9, 47.9, 20.2, 16.9, 27.9, 24.8, 37.1, 33, 51.5, 49.4, 35, 30.1, 66.4, -5.7
159, SMU, Amer, 32, 10, 103.7, 103.1, .5160, 47.4, 51.8, 18, 18.7, 28.1, 30.5, 33, 32.8, 47.8, 51.4, 31.1, 34.9, 69.4, -10.2
160, Grambling St., SWAC, 29, 23, 100.4, 99.9, .5155, 50.3, 44.9, 21.4, 21, 31.6, 30.9, 41.1, 40.5, 48.7, 43.9, 36.3, 31.1, 66.1, -3.7
161, Seattle, WAC, 29, 20, 100.2, 99.6, .5151, 46.3, 48.3, 17, 17.8, 29.9, 26.8, 31.7, 32.8, 46.1, 48.5, 31, 32, 68.8, -4
162, Pacific, WCC, 31, 15, 108.1, 107.5, .5148, 52.6, 54, 16.2, 17.9, 22.9, 31.2, 33.1, 36.4, 49.6, 55.1, 38.3, 34.9, 69.8, -9.8
163, Montana, BSky, 30, 17, 108.4, 107.9, .5143, 53.8, 51.2, 17.3, 15.9, 24.4, 25.1, 29.1, 37.9, 52.4, 52.5, 37.3, 32.5, 63.6, -7.6
164, Brown, Ivy, 27, 14, 101.1, 100.7, .5127, 50.7, 51.2, 19, 19.7, 23.4, 23.7, 29.8, 26.9, 49.8, 50.4, 34.7, 35, 69.3, -7.1
165, Longwood, BSth, 30, 20, 104.1, 103.6, .5121, 50.2, 51.2, 17.8, 21.5, 32.1, 26.9, 33.6, 33.5, 49.5, 50.5, 34.3, 34.7, 66, -7.6
166, UNC Wilmington, CAA, 32, 24, 101.9, 101.5, .5113, 48.9, 49.2, 18.6, 20.7, 27.8, 28, 39.7, 37.6, 48.3, 51.2, 33.3, 30.5, 65.2, -2.8
167, North Carolina Central, MEAC, 25, 18, 101.1, 100.9, .5079, 51.2, 49.1, 22.6, 21.6, 32.9, 29.4, 34.4, 33.9, 50.7, 50.3, 34.9, 31.4, 67.8, -6.5
168, Cleveland St., Horz, 32, 21, 104.9, 104.6, .5071, 49.5, 48.2, 17.4, 20.5, 35.2, 35, 30, 30.7, 50.7, 48.8, 30.8, 31.5, 65.6, -8
169, Quinnipiac, MAAC, 30, 20, 104.8, 104.7, .5042, 50.3, 47.9, 18.3, 16.4, 32.3, 27.4, 33.5, 27, 47.7, 48.4, 36.5, 31.3, 69.9, -6.3
170, Ball St., MAC, 30, 20, 108.1, 107.9, .5038, 53, 51, 17.8, 16.7, 30.5, 28.4, 42.3, 31.3, 51.7, 47.7, 36.9, 38.4, 67.3, -6.2
171, Richmond, A10, 33, 15, 103.1, 103.0, .5030, 51.2, 49.6, 17.1, 17.1, 21, 25.4, 33, 26.2, 52.4, 49.7, 33, 32.9, 65.3, -10.4
172, UC Riverside, BW, 31, 21, 106.0, 106.0, .5012, 50, 51.4, 18, 17.3, 32.2, 22.8, 26, 37.4, 48.4, 51.4, 35.1, 34.3, 66.9, -3.6
173, Boston College, ACC, 33, 16, 103.1, 103.1, .5008, 48.7, 51.5, 18.3, 18.3, 27.6, 28.3, 27.3, 27.6, 49.2, 49.1, 31.9, 36.8, 66.6, -6.8
174, Louisiana Tech, CUSA, 29, 15, 105.8, 105.8, .4996, 51.4, 53.8, 19.9, 21, 30.6, 27.6, 27.5, 38.2, 50.7, 51, 35, 38.4, 66.4, -9.3
175, Chattanooga, SC, 32, 18, 108.2, 108.2, .4993, 54, 50.9, 17.5, 15.3, 27.3, 26.7, 32, 30.2, 51.8, 50.6, 37.3, 34.2, 68.1, -11
176, Lipscomb, ASun, 30, 20, 104.0, 104.1, .4971, 53.7, 50.2, 17.3, 15.6, 25, 24.6, 23.6, 23.3, 53.5, 49.4, 36, 34.3, 69.3, -7.1
177, Stetson, ASun, 28, 17, 112.7, 112.8, .4958, 54.1, 53.3, 15.8, 14.5, 28.7, 28.3, 25.5, 29.5, 51.1, 52.7, 38.6, 36.2, 64.5, -6.8
178, Saint Joseph's, A10, 33, 16, 104.8, 105.0, .4948, 50.2, 50.5, 18.2, 18.9, 28.9, 30.7, 34.2, 32.8, 50.9, 50.1, 32.9, 34.1, 69.2, -9.6
179, UNC Asheville, BSth, 32, 27, 103.1, 103.4, .4892, 53.9, 48, 20, 17.9, 25.8, 28.7, 41.3, 26.8, 51.4, 49.1, 38.8, 30.5, 68.4, -1.6
180, Radford, BSth, 31, 19, 104.4, 104.9, .4876, 51.5, 52.6, 18.4, 20.3, 30.7, 27.9, 28.8, 32.3, 50.5, 53.5, 35.7, 34, 64.6, -8.3
181, Buffalo, MAC, 29, 15, 104.1, 104.6, .4864, 49.7, 51.9, 19.3, 18.4, 32.2, 29.1, 31.9, 36.6, 51.1, 51.9, 31.4, 34.6, 72.1, -8.4
182, UTEP, CUSA, 30, 14, 99.7, 100.4, .4782, 48.6, 51.1, 22.9, 22.9, 33.3, 29.7, 38.8, 37.3, 50.7, 51.8, 29.1, 33.2, 66.8, -10.5
183, St. Bonaventure, A10, 32, 14, 101.3, 102.3, .4707, 49.2, 48.6, 18.8, 19.4, 27.5, 29.2, 29.5, 40.9, 47.5, 52.1, 34.8, 28.7, 65.6, -11.5
184, Western Kentucky, CUSA, 30, 17, 104.9, 106.0, .4700, 50.3, 50.6, 17, 17.8, 25.8, 30.9, 32.6, 25.8, 49, 47.2, 35, 36.8, 67.2, -7.8
185, Georgia Southern, SB, 30, 17, 100.9, 102.1, .4671, 48.2, 49.5, 16.3, 18.3, 25.8, 27.3, 27.9, 34.6, 48.4, 49.4, 31.8, 33.2, 66.6, -9.7
186, Texas A&M Corpus Chris, Slnd, 29, 23, 106.5, 107.8, .4666, 51.2, 52.4, 18, 20.9, 32.5, 27.9, 34.4, 38.6, 49, 54.1, 36.9, 33.3, 69.2, -5.8
187, Harvard, Ivy, 26, 14, 100.1, 101.2, .4662, 49.5, 48.8, 19.8, 18.4, 30.3, 24.3, 31.2, 25, 52.1, 50, 30, 31.2, 66, -8.3
188, South Dakota St., Sum, 31, 19, 104.4, 105.6, .4647, 51.7, 50.9, 17.1, 17.3, 21.5, 26, 28.1, 23.1, 51.2, 51.7, 35.1, 33.2, 66.7, -6.1
189, Drexel, CAA, 31, 17, 100.8, 102.2, .4608, 49.4, 47.4, 17.9, 18, 29.4, 27.4, 30.1, 24.2, 50.6, 46.2, 31.8, 33.5, 63.4, -10.1
190, St. Thomas, Sum, 31, 19, 107.0, 108.6, .4579, 51.8, 51.9, 15.1, 17.3, 24, 28.8, 30.7, 31, 51.2, 52.6, 35.1, 33.7, 66.1, -8.3
191, Texas St., SB, 32, 16, 105.0, 106.6, .4572, 48.2, 50.9, 17.9, 18.6, 31.6, 28.5, 32.5, 41.7, 48.6, 49, 31.4, 36.4, 63.6, -11.7
192, George Washington, A10, 31, 16, 109.8, 111.6, .4523, 53, 52, 17.6, 15.5, 26.5, 29.7, 34.5, 27.7, 56, 51.7, 32.1, 34.9, 68.8, -10
193, Wright St., Horz, 31, 18, 104.4, 106.2, .4520, 53.5, 50.3, 17.3, 17.2, 26.2, 26.6, 24, 27.6, 53.9, 51.2, 35.1, 32.6, 71.3, -10.7
194, East Carolina, Amer, 32, 16, 103.3, 105.1, .4503, 47.5, 49.7, 19.1, 17.5, 33.5, 29.3, 37.1, 32.7, 47.1, 49.9, 32, 32.9, 67.3, -7.4
195, Old Dominion, SB, 30, 19, 102.1, 103.9, .4493, 46.4, 48.3, 17.1, 17.7, 32.8, 29, 36.2, 34.7, 46.1, 48.8, 31.5, 31.7, 65, -5.6
196, Abilene Christian, WAC, 26, 13, 105.8, 107.7, .4475, 49.2, 56.5, 17.3, 23.3, 25.5, 28.6, 32.3, 45.6, 48.1, 56.2, 34.3, 38.1, 69.1, -10
197, Pepperdine, WCC, 29, 9, 104.9, 106.9, .4466, 52, 52.5, 18.3, 16.6, 25.9, 30.5, 26.8, 32.6, 51.6, 51.6, 35.1, 36.2, 72.2, -12.5
198, Navy, Pat, 30, 18, 102.1, 104.0, .4456, 51.5, 50.4, 17.3, 19.5, 29.9, 28, 23.7, 30, 49.3, 49.8, 36.9, 34.2, 64.4, -8.5
199, Weber St., BSky, 31, 18, 99.6, 101.7, .4427, 50.8, 52.8, 19.2, 19.3, 21, 22.4, 33.7, 31.7, 51.8, 51.1, 32.8, 36.8, 65.1, -8.1
200, Gardner Webb, BSth, 29, 15, 99.3, 101.6, .4353, 50.7, 49.1, 19.5, 20.3, 28.5, 25.1, 34.8, 39.6, 51.5, 47.4, 32.8, 34.7, 66.2, -11.1
201, Morehead St., OVC, 28, 21, 101.6, 104.2, .4280, 49.5, 49.8, 18.9, 15.8, 27.3, 24.6, 35.9, 28.3, 47.1, 50.1, 35.6, 32.7, 63.6, -6.4
202, FIU, CUSA, 30, 14, 103.2, 105.9, .4256, 52.1, 52.1, 20.6, 22.8, 25.5, 36.7, 28.7, 30.6, 53.8, 50.4, 32.8, 36.5, 70, -10.9
203, Queens, ASun, 30, 18, 106.8, 109.7, .4221, 51.2, 53, 17.6, 15.7, 29.7, 26.1, 35.9, 25.4, 50.5, 53, 34.8, 35.3, 69.9, -9.2
204, Florida Gulf Coast, ASun, 31, 17, 104.0, 106.9, .4219, 51.2, 50.7, 17.1, 17.3, 26.6, 28.8, 28.2, 28.1, 50.1, 51.1, 35.1, 33.4, 66.3, -8.5
205, La Salle, A10, 33, 15, 104.8, 107.7, .4218, 48.7, 51, 18.2, 17.9, 30.9, 30.7, 28.6, 31.2, 47, 50.4, 34.4, 34.7, 67.7, -10.5
206, Georgetown, BE, 32, 7, 103.9, 107.0, .4175, 47.1, 53.6, 17.5, 15.9, 28.9, 30, 29.1, 24.5, 47.5, 50.5, 30.9, 38.9, 68.8, -12.7
207, Northern Iowa, MVC, 31, 14, 103.7, 106.7, .4172, 51.3, 53.8, 17.7, 18.2, 22.6, 22.4, 31.1, 26.5, 51.7, 53.6, 33.7, 36, 67.4, -11.3
208, Florida St., ACC, 32, 9, 104.7, 107.8, .4153, 49.3, 53.1, 17.6, 17.1, 25.9, 31.5, 30.4, 30.9, 49.2, 50.8, 33, 37.6, 68.8, -12.1
209, Siena, MAAC, 31, 17, 101.0, 104.1, .4139, 49.5, 49.4, 19.6, 18.4, 30.1, 26.7, 34.8, 33.6, 48, 49.2, 35, 33.3, 66.8, -9.4
210, Minnesota, B10, 30, 9, 102.5, 105.8, .4111, 49, 50.6, 19.5, 14.8, 25, 30.6, 30.8, 24.5, 49.3, 49.2, 32.4, 35.8, 65.8, -9.5
211, San Diego, WCC, 29, 11, 109.9, 113.5, .4089, 51.1, 58.2, 16, 17.3, 27.9, 29.7, 30.9, 33.4, 50.4, 55.9, 34.8, 41, 68.7, -11.8
212, Massachusetts, A10, 31, 15, 100.7, 104.1, .4051, 46.4, 50.2, 20.2, 19.2, 34.5, 27.9, 32.2, 32.4, 45.2, 50.5, 32.8, 33.1, 70.6, -9.1
213, New Mexico St., WAC, 21, 9, 104.2, 107.8, .4032, 50.2, 53.7, 18.3, 19.1, 27, 26.5, 34.7, 37, 48.8, 52.5, 35.1, 36.8, 69.1, -8.7
214, South Carolina, SEC, 32, 11, 103.4, 107.1, .4018, 46.9, 52.6, 19.9, 15.9, 32.7, 32.5, 26.8, 29.4, 45.8, 53.7, 32.3, 33.8, 64.3, -9.4
215, Murray St., MVC, 31, 17, 106.2, 109.9, .4010, 49, 51.9, 16.2, 15.6, 27.4, 27.3, 33.2, 24.4, 49.1, 53.2, 32.6, 33.4, 66.7, -7.6
216, Rider, MAAC, 29, 16, 105.5, 109.3, .4007, 49.5, 50.3, 17.8, 16.5, 33.8, 28.3, 29.3, 38.6, 49.4, 47.5, 33.3, 36.2, 65.1, -9.2
217, Bryant, AE, 28, 17, 103.8, 107.5, .4003, 52, 50, 18.7, 15.8, 29, 25.2, 32.9, 31.9, 53.4, 49.3, 33.3, 34.1, 72.1, -7.7
218, Howard, MEAC, 29, 20, 103.9, 107.7, .3992, 52.2, 51.6, 22.6, 21.1, 33.3, 31.7, 31.6, 34.4, 49.8, 51.6, 37.6, 34.4, 69.1, -7.3
219, Northern Arizona, BSky, 33, 12, 107.3, 111.2, .3980, 50.5, 55.3, 15.9, 17.2, 26.9, 25.7, 27.4, 38.7, 48.6, 55.7, 35.7, 36.5, 66.8, -15
220, North Dakota St., Sum, 31, 16, 104.0, 107.9, .3954, 51.7, 50.8, 16.9, 12.4, 24.4, 22.6, 32.2, 27.1, 52.2, 50.6, 33.9, 34.2, 68.1, -10.1
221, Detroit, Horz, 32, 14, 110.1, 114.2, .3952, 51.4, 53.6, 17.6, 17.1, 35.8, 29.7, 27.2, 28.9, 46.4, 52.6, 38.7, 36.8, 67.1, -12.9
222, Norfolk St., MEAC, 26, 20, 107.3, 111.4, .3924, 53.1, 51, 20.1, 18.6, 33.4, 31, 38.1, 35.8, 54.6, 49.3, 33.5, 35.2, 65.6, -5.1
223, Northwestern St., Slnd, 32, 22, 105.1, 109.3, .3903, 51.3, 51, 17.3, 21, 33.3, 33.6, 27.2, 38.7, 49.8, 51.8, 35.8, 32.9, 66.5, -5.5
224, Oregon St., P12, 31, 11, 99.0, 102.9, .3899, 46.5, 49.6, 20.8, 18.2, 25.3, 30.6, 33.9, 33.9, 45.7, 49.1, 31.9, 33.7, 63.6, -9.4
225, Mercer, SC, 31, 14, 99.1, 103.1, .3898, 48.9, 48.8, 18.2, 17.4, 30.4, 27.6, 28.6, 35.9, 48.8, 48.4, 32.7, 33, 64.5, -13.7
226, Campbell, BSth, 32, 16, 105.1, 109.6, .3831, 52.7, 52.5, 18.1, 18.4, 24.4, 27.8, 38, 32.1, 54.7, 53.2, 32.9, 34.4, 64.2, -13
227, Rice, CUSA, 29, 18, 106.6, 111.1, .3822, 53.3, 54.4, 18.1, 16, 23.6, 26.3, 33.1, 25.7, 53.8, 54.1, 35.1, 36.7, 70, -6.8
228, North Florida, ASun, 29, 14, 109.2, 114.2, .3740, 53.3, 52.4, 17.3, 14, 26.2, 32.9, 28.4, 23.5, 52.1, 52.1, 36.4, 35.5, 68.1, -10
229, UC San Diego, BW, 28, 10, 103.9, 108.7, .3734, 49.6, 51.8, 17.9, 16.5, 23.2, 29.3, 26.1, 27.9, 49.6, 49.7, 33, 37.1, 66, -13.8
230, Loyola Chicago, A10, 31, 10, 102.9, 107.6, .3733, 52.9, 51.6, 22.1, 17.9, 24.5, 28.5, 31.1, 37.5, 54.8, 51.7, 33.4, 34.4, 66.1, -13.5
231, Jacksonville, ASun, 26, 13, 100.8, 105.4, .3732, 50.6, 49.8, 19.1, 14.3, 23.9, 25.7, 22.8, 27, 51, 51.4, 33.3, 32.1, 61, -10.2
232, UT Arlington, WAC, 29, 11, 100.5, 105.3, .3693, 45.9, 51.9, 21.1, 20.1, 32.7, 30.8, 29.7, 39.5, 44.9, 49.6, 31.9, 37.1, 65.9, -13.2
233, Northern Colorado, BSky, 31, 12, 106.3, 111.4, .3683, 52.4, 53.1, 17.5, 14, 24.3, 27, 31.4, 31.7, 51, 54.5, 36.4, 33.4, 69.6, -12.5
234, Jacksonville St., ASun, 28, 13, 101.9, 106.9, .3663, 50.5, 52.5, 20.2, 16.5, 29.4, 24.1, 31.8, 29.5, 47.9, 52.7, 36, 34.9, 65.5, -11.4
235, Delaware, CAA, 32, 17, 102.5, 107.6, .3645, 49.6, 51.8, 16.5, 18.6, 25, 29.8, 33, 29.4, 50.5, 50.1, 32, 36.6, 67, -9.7
236, Army, Pat, 31, 17, 103.3, 108.5, .3640, 53.8, 51.4, 19.1, 15.6, 25.4, 24.2, 31.3, 28.5, 54.7, 52.4, 34.9, 33.1, 68.5, -12.4
237, Portland St., BSky, 29, 12, 103.2, 108.3, .3629, 49.6, 55, 16.8, 21.3, 24, 31.4, 34.8, 46.6, 49.7, 55, 33, 36.8, 72.4, -12.6
238, Milwaukee, Horz, 29, 21, 102.5, 107.8, .3598, 51.8, 48.2, 21.5, 17.7, 32.7, 32.8, 31.9, 29.4, 51.4, 49, 35, 31.4, 71.7, -6
239, Wofford, SC, 30, 17, 108.7, 114.5, .3551, 52.4, 54.8, 16.3, 16.6, 28.6, 28.7, 30, 26.4, 55.1, 56.1, 32.1, 35.3, 65.1, -9.6
240, Rhode Island, A10, 31, 9, 98.2, 103.5, .3518, 44.2, 49.1, 20.4, 17.2, 31.6, 29.5, 37, 31.7, 43.6, 49.6, 30.4, 32.1, 67.2, -15.5
241, Northern Illinois, MAC, 30, 13, 101.1, 106.7, .3495, 52.2, 50.7, 20.3, 18.6, 25, 32.8, 34.3, 35.8, 52.1, 51.7, 34.9, 32.7, 69, -12
242, Robert Morris, Horz, 31, 16, 98.6, 104.5, .3389, 49.2, 49.6, 19.5, 19.1, 29.7, 28.5, 26.9, 31.1, 50.4, 47.4, 31.4, 36.2, 66.2, -11.9
