SEED,TEAM
1, Alabama
16, Texas A&M Corpus Chris
8, Maryland
9, West Virginia
5, San Diego St.
12, College of Charleston
4, Virginia
13, Furman
6, Creighton
11, North Carolina St.
3, Baylor
14, UC Santa Barbara
7, Missouri
10, Utah St.
2, Arizona
15, Princeton
1, Purdue
16, Texas Southern
8, Memphis
9, Florida Atlantic
5, Duke
12, Oral Roberts
4, Tennessee
13, Louisiana Lafayette
6, Kentucky
11, Providence
3, Kansas St.
14, Montana St.
7, Michigan St.
10, USC
2, Marquette
15, Vermont
1, Houston
16, Northern Kentucky
8, Iowa
9, Auburn
5, Miami FL
12, Drake
4, Indiana
13, Kent St.
6, Iowa St.
11, Pittsburgh
3, Xavier
14, Kennesaw St.
7, Texas A&M
10, Penn St.
2, Texas
15, Colgate
1, Kansas
16, Howard
8, Arkansas
9, Illinois
5, Saint Mary's
12, VCU
4, Connecticut
13, Iona
6, TCU
11, Arizona St.
3, Gonzaga
14, Grand Canyon
7, Northwestern
10, Boise St.
2, UCLA
15, UNC Asheville